target_date,lead_months,point_id,series_id,input_kind,scenario,model_family,model,feature_set,y_hat,dy_hat
2029-12-01,72,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.626507673117392,0.1431312437630776
2030-01-01,73,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.531706844526383,-0.0948008285910095
2030-02-01,74,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.458521452367598,-0.0731853921587846
2030-03-01,75,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.406957625600543,-0.0515638267670545
2030-04-01,76,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.377020707956433,-0.0299369176441104
2030-05-01,77,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.368714885941206,-0.0083058220152262
2030-06-01,78,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.382043087671064,0.0133282017298573
2030-07-01,79,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.4170071236195465,0.0349640359484826
2030-08-01,80,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.47360793462908,0.056600811009534
2030-09-01,81,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.55184589789138,0.0782379632622998
2030-10-01,82,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.651721165007258,0.0998752671158775
2030-11-01,83,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.773233958383783,0.1215127933765257
2030-12-01,84,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,6.916384782316201,0.1431508239324177
2024-01-01,1,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,5.6384037785507815,2.435615539550781
2024-02-01,2,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,5.897602056739487,0.2591982781887054
2024-03-01,3,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,8.044501280067124,2.1468992233276367
2024-04-01,4,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.1189256660916,1.074424386024475
2024-05-01,5,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,0.0878761634230613
2024-06-01,6,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,0.4123128354549408
2024-07-01,7,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,8.909291115996993,-0.260497123003006
2024-08-01,8,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,7.952806798217452,-0.956484317779541
2024-09-01,9,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,7.556876090762771,-0.3959307074546814
2024-10-01,10,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,7.309154061076796,-0.2477220296859741
2024-11-01,11,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,7.870695499179519,0.5615414381027222
2024-12-01,12,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,7.595846561191237,-0.2748489379882812
2025-01-01,13,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,8.00180139899031,0.4059548377990722
2025-02-01,14,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,8.190607143042243,0.1888057440519333
2025-03-01,15,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,1.3174222707748413
2025-04-01,16,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,2.041322946548462
2025-05-01,17,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,1.108941912651062
2025-06-01,18,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,0.6219161152839661
2025-07-01,19,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.133171082881844,-0.0366171561181545
2025-08-01,20,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,0.0807515978813171
2025-09-01,21,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.065860790608085,-0.1039274483919143
2025-10-01,22,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,8.966700059769309,-0.0991607308387756
2025-11-01,23,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,1.524320363998413
2025-12-01,24,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,1.0359708070755005
2026-01-01,25,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,1.3529518842697144
2026-02-01,26,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,0.8964335918426514
2026-03-01,27,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,2.560031652450561
2026-04-01,28,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,3.83777379989624
2026-05-01,29,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,1.1024055480957031
2026-06-01,30,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,0.0816942825913429
2026-07-01,31,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,0.0362093150615692
2026-08-01,32,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,0.3035933077335357
2026-09-01,33,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,0.1962422579526901
2026-10-01,34,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,1.3335096836090088
2026-11-01,35,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,2.353947639465332
2026-12-01,36,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,2.7511215209960938
2027-01-01,37,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,3.237648725509644
2027-02-01,38,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,3.158951997756958
2027-03-01,39,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,2.8742785453796387
2027-04-01,40,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,2.179849863052368
2027-05-01,41,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,1.2855713367462158
2027-06-01,42,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,0.2467593699693679
2027-07-01,43,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,0.0286198258399963
2027-08-01,44,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,0.1774989068508148
2027-09-01,45,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,0.0162672102451324
2027-10-01,46,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,1.4564827680587769
2027-11-01,47,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,2.4876577854156494
2027-12-01,48,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,2.7257559299468994
2028-01-01,49,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,3.596505641937256
2028-02-01,50,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,2.8809001445770264
2028-03-01,51,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,2.759726285934448
2028-04-01,52,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,2.4411580562591557
2028-05-01,53,08.10.008,Aquifer__08.10.008,Aquifer,Base,EXOG,XGB,EXOG_LAG1_ONLY,9.169788239,0.8688279986381531
